run,label,model,tp,pp,ep,mode,workload,input_len,output_len,concurrency,completed,failed,output_tok_per_s,ttft_s_p50,ttft_s_p95,itl_ms_p50,itl_ms_p95,itl_ms_mean,total_output_tokens,total_input_tokens,wire_tx_bytes,wire_rx_bytes,bytes_per_output_token,bytes_per_total_token,pred_bytes_per_token,pred_tp_bytes,pred_ep_bytes,pred_pp_bytes,is_moe,gpu_util_mean,net_gbps_mean,net_gbps_peak,net_burstiness,net_samples,hw_out_of_sequence,hw_packet_seq_err,hw_local_ack_timeout_err,hw_np_cnp_sent,hw_rp_cnp_handled,hw_np_ecn_marked_roce_packets
p1_l70_tp2_dual_decode_in128_out1024_c1,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,decode,128,1024,1,8,0,3.3080827834194957,0.36316533386707306,0.37156967585906386,298.5208057798445,331.2016003765166,302.22932812283256,8192,976,148631004044,148631004040,18143433.110839844,16211933.2508726,5242880.0,5242880,0.0,0,False,47.92512591247904,0.32,5.368,16.78,3668,0,0,0,0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c32,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,decode,128,1024,32,64,0,78.58037279517305,1.2300038947723806,2.7836882998235524,370.2758150175214,564.1881846822798,405.67699705920637,65536,7808,536185098340,536185098340,8181535.314025879,7310551.624400088,5242880.0,5242880,0.0,0,False,47.89113100228839,2.033,10.52,5.17,2080,0,0,0,0,0,0
p1_l70_tp2_dual_decode_in128_out1024_c8,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,decode,128,1024,8,32,0,23.33521922939361,1.1194384833797812,1.1365743670612574,328.5120693035424,337.580107152462,342.07983152531597,32768,3904,291781603492,291781603492,8904467.880004883,7956522.782831588,5242880.0,5242880,0.0,0,False,47.91825014609919,0.882,2.872,3.26,2610,0,0,0,0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c1,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,prefill,4096,32,1,8,0,3.211508017589676,0.372457361780107,0.39317923970520496,300.88590923696756,379.00285003706813,309.2892068032656,256,31048,20468101436,20468101440,79953521.234375,653849.3941988244,5242880.0,5242880,0.0,0,False,46.78769841269842,1.304,37.751,28.95,124,0,0,0,0,0,0
p1_l70_tp2_dual_prefill_in4096_out32_c8,l70_tp2,Llama-3.3-70B-Instruct,2,1,0,dual,prefill,4096,32,8,32,0,21.755165856004513,1.254713164176792,1.2753461939282715,329.56131314858794,336.73981158062816,339.8361501482037,1024,124192,11559425684,11559425684,11288501.64453125,92315.88362509584,5242880.0,5242880,0.0,0,False,46.45,1.037,4.201,4.05,88,0,0,0,0,0,0
p1_l70_tp2pp2_dual_decode_in128_out1024_c1,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,decode,128,1024,1,8,0,3.19635080215144,0.38036725809797645,0.3850520718842745,312.6987088471651,315.3817290440202,312.79229633320074,8192,976,150157020292,150157020296,18329714.39111328,16378383.539703315,5259264.0,5242880,0.0,16384,False,95.84611385495191,0.312,5.16,16.53,3803,0,0,0,0,0,0
p1_l70_tp2pp2_dual_decode_in128_out1024_c32,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,decode,128,1024,32,64,0,48.15039214778655,1.1491859392262995,1.206918406765908,664.2342288978398,676.4136389829218,664.0834347007808,65536,7808,563446194484,563446194484,8597506.629699707,7682239.7808137,5259264.0,5242880,0.0,16384,False,95.87296939931998,1.702,9.845,5.78,2616,0,0,0,0,0,0
p1_l70_tp2pp2_dual_decode_in128_out1024_c8,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,decode,128,1024,8,32,0,14.432642766580644,1.0626692869700491,1.1009640130214393,624.2717769928277,630.4989350028336,553.8569646443384,32768,3904,331269792640,331269792640,10109551.77734375,9033316.771378709,5259264.0,5242880,0.0,16384,False,95.88965172262866,0.745,3.669,4.92,3513,0,0,0,0,0,0
p1_l70_tp2pp2_dual_prefill_in4096_out32_c1,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,prefill,4096,32,1,8,0,3.1499391736086384,0.39312622183933854,0.4047485408373177,314.83022309839725,318.10326082631946,315.0393709300026,256,31048,20728775736,20728775732,80971780.21875,662176.5824175824,5259264.0,5242880,0.0,16384,False,93.345703125,1.311,46.059,35.15,125,0,0,0,0,0,0
p1_l70_tp2pp2_dual_prefill_in4096_out32_c8,l70_tp2pp2,Llama-3.3-70B-Instruct,2,2,0,dual,prefill,4096,32,8,32,0,12.55346003648614,1.1434595049358904,1.1974715050309896,630.233523901552,633.2449931651354,621.0363546509349,1024,124192,13093426508,13093426512,12786549.32421875,104566.72077050856,5259264.0,5242880,0.0,16384,False,93.794,0.844,4.306,5.1,122,0,0,0,0,0,0
p1_l70_tp4_dual_decode_in128_out1024_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,decode,128,1024,1,8,0,5.8328885142945275,0.25315917236730456,0.25836715986952186,166.91961279138923,202.0945861004293,171.3628561347145,8192,976,449811470948,449811470940,54908626.82470703,49063205.818935424,15728640.0,15728640,0.0,0,False,95.47479287868953,1.706,18.643,10.93,2080,0,0,0,0,0,0
p1_l70_tp4_dual_decode_in128_out1024_c32,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,decode,128,1024,32,64,0,122.65143335634806,0.9091825759969652,0.9210083507932723,242.85369971767068,418.2363790459931,260.26675715059844,65536,7808,1963364362660,1963364362664,29958562.66265869,26769256.689845115,15728640.0,15728640,0.0,0,False,95.47031502423263,12.673,38.923,3.07,1220,0,0,0,0,0,0
p1_l70_tp4_dual_decode_in128_out1024_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,decode,128,1024,8,32,0,38.74107902425474,0.8118996280245483,0.897744479123503,191.05622731149197,344.0346010029316,205.89489196907678,32768,3904,1317460587252,1317460587256,40205706.39807129,35925517.75883508,15728640.0,15728640,0.0,0,False,95.53762504939581,6.797,15.715,2.31,1530,0,0,0,0,0,0
p1_l70_tp4_dual_prefill_in4096_out32_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,prefill,4096,32,1,8,0,5.617273719161337,0.26254906225949526,0.3485143268480897,168.0702310986817,205.49985812976956,174.95025481255124,256,31048,62619052916,62619052912,244605675.453125,2000353.0831842576,15728640.0,15728640,0.0,0,False,92.28125,7.072,157.929,22.33,70,0,0,0,0,0,0
p1_l70_tp4_dual_prefill_in4096_out32_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,dual,prefill,4096,32,8,32,0,36.624445932242246,0.917073184158653,0.9494650978595018,192.35599087551236,204.39723040908575,197.0048104135898,1024,124192,50100470816,50100470820,48926241.03125,400112.3723485817,15728640.0,15728640,0.0,0,False,90.02314814814815,7.605,19.174,2.52,52,0,0,0,0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,decode,128,1024,1,8,0,2.9998177028853465,0.559528521989705,0.5979214509861777,333.3746819989756,385.65026999276597,333.1513862704085,8192,976,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,95.85469827824485,0.0,0.0,,4034,0,0,0,0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c32,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,decode,128,1024,32,64,0,38.83829350268391,2.533559443996637,2.5666122490074486,831.859104000614,880.489948001923,822.2526110178712,65536,7808,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,95.90342271244633,0.0,0.0,,2995,0,0,0,0,0,0
p1_l70_tp4_tcp_decode_in128_out1024_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,decode,128,1024,8,32,0,15.502547848679997,1.9874988259980455,2.2384832670068135,506.85882499965373,576.5903220017208,514.5995784845416,32768,3904,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,95.91671498985212,0.0,0.0,,3409,0,0,0,0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,prefill,4096,32,1,8,0,2.7072319341109674,0.5637547340011224,0.5883683830033988,363.0325159901986,407.8310580080142,363.2715675968,256,31048,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,94.0603448275862,0.0,0.0,,142,0,0,0,0,0,0
p1_l70_tp4_tcp_prefill_in4096_out32_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,prefill,4096,32,8,32,0,14.673077450958809,2.2375841189932544,2.333441616006894,495.54408399853855,546.087003996945,492.74008181957413,1024,124192,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,93.60398230088495,0.0,0.0,,111,0,0,0,0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c1,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,decode,128,1024,1,8,0,13.8618340663759,0.07990104798227549,0.08033986110240221,72.10315018892288,74.31459985673428,72.1335305768827,8192,976,261181844,261181836,31882.54931640625,28488.42102966841,8192.0,0,0.0,8192,False,47.78904494382022,0.002,0.018,7.8,880,0,0,0,0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c32,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,decode,128,1024,32,64,0,390.2540394882829,0.17707708897069097,0.22378324111923575,81.11264696344733,88.14916480332613,81.8824863576259,65536,7808,1244978832,1244978828,18996.869384765625,16974.515052356022,8192.0,0,0.0,8192,False,47.699143468950744,0.021,0.092,4.32,460,0,0,0,0,0,0
p1_l8_pp2_dual_decode_in128_out1024_c8,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,decode,128,1024,8,32,0,103.77560594628974,0.1495069209486246,0.19242650223895907,76.85752119868994,79.26658913493156,77.00786018431565,32768,3904,736630584,736630588,22480.181396484375,20087.00327225131,8192.0,0,0.0,8192,False,47.765879478827365,0.01,0.026,2.7,605,0,0,0,0,0,0
p1_l8_pp2_dual_prefill_in4096_out32_c1,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,prefill,4096,32,1,8,0,13.445926692093192,0.09236219292506576,0.09306558687239885,73.76151718199253,76.03936735540628,73.80991984879779,256,31048,56871772,56871776,222155.359375,1816.757347303859,8192.0,0,0.0,8192,False,43.21875,0.015,0.306,20.45,30,0,0,0,0,0,0
p1_l8_pp2_dual_prefill_in4096_out32_c8,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,prefill,4096,32,8,32,0,97.17287712721188,0.16976672085002065,0.2236610408872366,78.68840405717492,80.4395480081439,78.55712769519268,1024,124192,28738288,28738288,28064.734375,229.50971121901355,8192.0,0,0.0,8192,False,41.96739130434783,0.011,0.025,2.31,21,0,0,0,0,0,0
p1_l8_pp4_dual_decode_in128_out1024_c1,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,decode,128,1024,1,8,0,14.525493492095446,0.07401493936777115,0.0753580299206078,68.79763025790453,70.32245770096779,68.83928938449031,8192,976,780740064,780740064,95305.18359375,85159.25654450261,24576.0,0,0.0,24576,False,95.46235294117648,0.007,0.034,4.64,841,0,0,0,0,0,0
p1_l8_pp4_dual_decode_in128_out1024_c32,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,decode,128,1024,32,64,0,414.9453084897641,0.17021896596997976,0.21147986967116594,77.19539105892181,84.8286566324532,77.02203645451242,65536,7808,3742109760,3742109764,57100.0634765625,51021.34816753927,24576.0,0,0.0,24576,False,95.32975113122171,0.068,0.305,4.49,436,0,0,0,0,0,0
p1_l8_pp4_dual_decode_in128_out1024_c8,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,decode,128,1024,8,32,0,115.57543326353107,0.10892852023243904,0.18516475101932883,68.99848999455571,70.57832181453705,69.16230683241591,32768,3904,2283811372,2283811372,69696.39196777344,62276.70626090751,24576.0,0,0.0,24576,False,95.51980633802818,0.032,0.089,2.76,561,0,0,0,0,0,0
p1_l8_pp4_dual_prefill_in4096_out32_c1,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,prefill,4096,32,1,8,0,14.001503926292962,0.08891214523464441,0.09027788089588284,70.93110214918852,72.49931572005153,70.85730155156325,256,31048,170296120,170296120,665219.21875,5440.075389726552,24576.0,0,0.0,24576,False,87.03333333333333,0.046,1.088,23.49,29,0,0,0,0,0,0
p1_l8_pp4_dual_prefill_in4096_out32_c8,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,prefill,4096,32,8,32,0,108.37387403661833,0.14781351201236248,0.2147099389694631,70.43021963909268,72.64523813501,70.32788351211967,1024,124192,92008568,92008572,89852.1171875,734.7988116534628,24576.0,0,0.0,24576,False,82.47619047619048,0.036,0.089,2.44,20,0,0,0,0,0,0
p1_l8_tp1_dual_decode_in128_out1024_c1,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,decode,128,1024,1,8,0,14.54629678187167,0.07905740477144718,0.0813541249372065,68.77431785687804,70.55825926363468,68.73614757646327,8192,976,0,0,0.0,0.0,0.0,0,0.0,0,False,24.016548463356973,0.0,0.0,,835,0,0,0,0,0,0
p1_l8_tp1_dual_decode_in128_out1024_c32,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,decode,128,1024,32,64,0,409.98043748077015,0.24460514495149255,0.2607720820233226,77.98656541854143,86.40647307038307,77.88157210450063,65536,7808,0,0,0.0,0.0,0.0,0,0.0,0,False,23.86261261261261,0.0,0.0,,437,0,0,0,0,0,0
p1_l8_tp1_dual_decode_in128_out1024_c8,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,decode,128,1024,8,32,0,115.79117967482031,0.21044245827943087,0.22450017416849732,68.99086525663733,72.39199336618185,68.94801129690096,32768,3904,0,0,0.0,0.0,0.0,0,0.0,0,False,23.952821869488535,0.0,0.0,,558,0,0,0,0,0,0
p1_l8_tp1_dual_prefill_in4096_out32_c1,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,prefill,4096,32,1,8,0,14.070589331300248,0.0907526439987123,0.09236088721081614,70.32462395727634,73.02231108769774,70.44872264715752,256,31048,0,0,0.0,0.0,0.0,0,0.0,0,False,22.458333333333332,0.0,0.0,,29,0,0,0,0,0,0
p1_l8_tp1_dual_prefill_in4096_out32_c8,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,prefill,4096,32,8,32,0,105.153633215963,0.23927619773894548,0.26755940495058894,70.76116930693388,72.98915879800916,70.67401114956385,1024,124192,0,0,0.0,0.0,0.0,0,0.0,0,False,20.36904761904762,0.0,0.0,,20,0,0,0,0,0,0
p1_l8_tp2_dual_decode_in128_out1024_c1,l8_tp2,Llama-3.1-8B-Instruct,2,1,0,dual,decode,128,1024,1,8,0,26.409668889797754,0.06097076507285237,0.07080677105113864,37.78728703036904,39.0889379195869,37.840845118691455,8192,976,32735219600,32735219600,3995998.486328125,3570595.5061082025,1048576.0,1048576,0.0,0,False,47.02029914529915,0.561,1.583,2.82,460,0,0,0,0,0,0
p1_l8_tp2_dual_decode_in128_out1024_c32,l8_tp2,Llama-3.1-8B-Instruct,2,1,0,dual,decode,128,1024,32,64,0,640.6371081924909,0.17498064786195755,0.20352571504190564,49.81018276885152,55.02822529524565,49.81417003672507,65536,7808,121862538344,121862538340,1859474.767211914,1661520.2108420592,1048576.0,1048576,0.0,0,False,46.86057692307692,3.756,10.727,2.86,256,0,0,0,0,0,0
p1_l8_tp2_dual_decode_in128_out1024_c8,l8_tp2,Llama-3.1-8B-Instruct,2,1,0,dual,decode,128,1024,8,32,0,196.90445278873872,0.1732940529473126,0.18382484279572964,40.40225921198726,42.93412109836936,40.50214757080183,32768,3904,95806843444,95806843448,2923792.829711914,2612533.9071771377,1048576.0,1048576,0.0,0,False,46.97453703703704,2.37,4.451,1.88,319,0,0,0,0,0,0
p1_l8_tp2_dual_prefill_in4096_out32_c1,l8_tp2,Llama-3.1-8B-Instruct,2,1,0,dual,prefill,4096,32,1,8,0,25.062403345917595,0.07271485403180122,0.07924568327143788,38.86300837621093,40.30848294496536,38.86529547537888,256,31048,4226344572,4226344572,16509158.484375,135009.7294914388,1048576.0,1048576,0.0,0,False,39.20833333333333,1.966,23.73,12.07,17,0,0,0,0,0,0
p1_l8_tp2_dual_prefill_in4096_out32_c8,l8_tp2,Llama-3.1-8B-Instruct,2,1,0,dual,prefill,4096,32,8,32,0,174.91371112692357,0.18929114192724228,0.2027386100962758,41.58410103991628,42.87387989461422,41.200841088861885,1024,124192,3454204128,3454204128,3373246.21875,27585.96447738308,1048576.0,1048576,0.0,0,False,38.59615384615384,2.159,4.404,2.04,12,0,0,0,0,0,0
p1_l8_tp2pp2_dual_decode_in128_out1024_c1,l8_tp2pp2,Llama-3.1-8B-Instruct,2,2,0,dual,decode,128,1024,1,8,0,25.323741372505904,0.06289253290742636,0.06484959507361054,39.36390532180667,40.949319023638964,39.46571813104037,8192,976,33528938624,33528938616,4092888.015625,3657170.443280977,1056768.0,1048576,0.0,8192,False,94.57530737704919,0.551,1.558,2.83,481,0,0,0,0,0,0
p1_l8_tp2pp2_dual_decode_in128_out1024_c32,l8_tp2pp2,Llama-3.1-8B-Instruct,2,2,0,dual,decode,128,1024,32,64,0,395.52774477540316,0.15981684904545546,0.1896171378903091,80.73650114238262,85.92831622809172,80.81211715725054,65536,7808,129551037848,129551037848,1976791.959350586,1766348.1381980802,1056768.0,1048576,0.0,8192,False,94.55623100303951,3.154,7.23,2.29,325,0,0,0,0,0,0
p1_l8_tp2pp2_dual_decode_in128_out1024_c8,l8_tp2pp2,Llama-3.1-8B-Instruct,2,2,0,dual,decode,128,1024,8,32,0,112.54944394842913,0.1515253963880241,0.17384871980175376,71.02338038384914,72.67010677605867,70.99994457151466,32768,3904,136454385004,136454385016,4164257.3548583984,3720941.999454625,1056768.0,1048576,0.0,8192,False,94.86951754385964,2.398,4.121,1.72,450,0,0,0,0,0,0
p1_l8_tp2pp2_dual_prefill_in4096_out32_c1,l8_tp2pp2,Llama-3.1-8B-Instruct,2,2,0,dual,prefill,4096,32,1,8,0,24.17965619450535,0.07522450713440776,0.0788035960868001,40.278312750160694,41.708913166075945,40.28781007734999,256,31048,4354095232,4354095236,17008184.5,139090.6986966522,1056768.0,1048576,0.0,8192,False,79.64473684210526,2.011,24.503,12.18,17,0,0,0,0,0,0
p1_l8_tp2pp2_dual_prefill_in4096_out32_c8,l8_tp2pp2,Llama-3.1-8B-Instruct,2,2,0,dual,prefill,4096,32,8,32,0,104.81672051337638,0.19253661623224616,0.2073944602161646,73.34782602265477,74.84613684937358,72.48510271705116,1024,124192,3809635540,3809635532,3720347.20703125,30424.510765397394,1056768.0,1048576,0.0,8192,False,79.42238562091504,1.82,3.12,1.71,16,0,0,0,0,0,0
p1_l8_tp4_dual_decode_in128_out1024_c1,l8_tp4,Llama-3.1-8B-Instruct,4,1,0,dual,decode,128,1024,1,8,0,35.88764948006551,0.056468067690730095,0.059583769645541906,27.792104985564947,29.094218742102385,27.837777791423257,8192,976,108270445796,108270445800,13216607.152832031,11809603.59904014,3145728.0,3145728,0.0,0,False,92.95303468208093,2.513,6.252,2.49,340,0,0,0,0,0,0
p1_l8_tp4_dual_decode_in128_out1024_c32,l8_tp4,Llama-3.1-8B-Instruct,4,1,0,dual,decode,128,1024,32,64,0,909.6672418785939,0.22024647798389196,0.22198315523564816,35.03826493397355,38.59189013019204,34.99798166442212,65536,7808,438680563136,438680563140,6693734.1787109375,5981137.695462478,3145728.0,3145728,0.0,0,False,92.59840425531915,18.72,51.733,2.76,185,0,0,0,0,0,0
p1_l8_tp4_dual_decode_in128_out1024_c8,l8_tp4,Llama-3.1-8B-Instruct,4,1,0,dual,decode,128,1024,8,32,0,318.5023480593178,0.16305450908839703,0.18276134366169572,25.0033438205719,26.36381099000573,24.985975178025978,32768,3904,296889184480,296889184476,9060338.881835938,8095800.187609075,3145728.0,3145728,0.0,0,False,92.24659090909091,10.843,21.634,2.0,216,0,0,0,0,0,0
p1_l8_tp4_dual_prefill_in4096_out32_c1,l8_tp4,Llama-3.1-8B-Instruct,4,1,0,dual,prefill,4096,32,1,8,0,33.653420632375045,0.07258362416177988,0.07362591475248337,28.3329039812088,29.782650992274284,28.36811175051656,256,31048,13544475292,13544475296,52908106.609375,432675.5460005111,3145728.0,3145728,0.0,0,False,74.41071428571429,8.226,72.209,8.78,13,0,0,0,0,0,0
p1_l8_tp4_dual_prefill_in4096_out32_c8,l8_tp4,Llama-3.1-8B-Instruct,4,1,0,dual,prefill,4096,32,8,32,0,266.3712427817029,0.16585547709837556,0.19725984381511807,25.45707207173109,26.643652003258467,25.66585209945427,1024,124192,11233165120,11233165120,10969887.8125,89710.30155890621,3145728.0,3145728,0.0,0,False,67.425,9.602,20.744,2.16,9,0,0,0,0,0,0
p1_q30_pp2_dual_decode_in128_out1024_c1,q30_pp2,Qwen3-30B-A3B-Instruct-2507,1,2,0,dual,decode,128,1024,1,8,0,31.76951741003811,0.13976674700006697,0.14377071400031127,31.184912999378867,33.78333900036523,31.371020873044934,8192,968,143900572,143900576,17565.98779296875,15709.669432314411,4096.0,0,0.0,4096,True,45.311124694376524,0.003,0.008,2.98,403,0,0,0,0,0,0
p1_q30_pp2_dual_decode_in128_out1024_c32,q30_pp2,Qwen3-30B-A3B-Instruct-2507,1,2,0,dual,decode,128,1024,32,64,0,650.0198016973604,0.2542193999997835,0.2828251179998915,49.07740499947977,56.88724199990247,49.015317218200174,65536,7744,609560696,609560700,9301.158081054688,8318.240938864628,4096.0,0,0.0,4096,True,47.37068965517241,0.021,0.054,2.56,229,0,0,0,0,0,0
p1_q30_pp2_dual_decode_in128_out1024_c8,q30_pp2,Qwen3-30B-A3B-Instruct-2507,1,2,0,dual,decode,128,1024,8,32,0,173.7537300106014,0.24261913400005142,0.35652439600016805,45.23069300012139,51.25402199973905,45.831349063660824,32768,3872,336599804,336599804,10272.210815429688,9186.675873362445,4096.0,0,0.0,4096,True,47.696875,0.008,0.015,1.8,315,0,0,0,0,0,0
p1_q30_pp2_dual_prefill_in4096_out32_c1,q30_pp2,Qwen3-30B-A3B-Instruct-2507,1,2,0,dual,prefill,4096,32,1,8,0,28.925232985397855,0.07810444699953223,0.0852024790001451,32.56864300055895,37.36444100013614,33.14895368145786,256,31040,28335304,28335300,110684.78125,905.3969836400818,4096.0,0,0.0,4096,True,40.90625,0.015,0.185,12.37,15,0,0,0,0,0,0
p1_q30_pp2_dual_prefill_in4096_out32_c8,q30_pp2,Qwen3-30B-A3B-Instruct-2507,1,2,0,dual,prefill,4096,32,8,32,0,168.55904610068052,0.2420444339995811,0.24365541600036522,40.8253040004638,46.53325000072073,41.51796035484087,1024,124160,12925384,12925376,12622.4453125,103.251086400818,4096.0,0,0.0,4096,True,39.47916666666667,0.009,0.016,1.84,11,0,0,0,0,0,0
