run,label,model,tp,pp,ep,mode,workload,input_len,output_len,concurrency,completed,failed,output_tok_per_s,ttft_s_p50,ttft_s_p95,itl_ms_p50,itl_ms_p95,itl_ms_mean,total_output_tokens,total_input_tokens,wire_tx_bytes,wire_rx_bytes,bytes_per_output_token,bytes_per_total_token,pred_bytes_per_token,pred_tp_bytes,pred_ep_bytes,pred_pp_bytes,is_moe,gpu_util_mean,net_gbps_mean,net_gbps_peak,net_burstiness,net_samples,hw_out_of_sequence,hw_packet_seq_err,hw_local_ack_timeout_err,hw_np_cnp_sent,hw_rp_cnp_handled,hw_np_ecn_marked_roce_packets,nodes,num_prompts,token_passes,bytes_per_token_pass,h,layers,gb_per_token_total,msg_bytes,phase0_proto,wire_factor,pred_wire_bytes,ratio_raw,ratio_proto_corrected,gpu_util_active,gb_read_critical_path,roofline_tok_s,measured_tok_s,roofline_efficiency,railB_share,node_imbalance
p1_l70_tp4_tcp_prefill_in4096_out32_c1,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,prefill,4096,32,1,8,0,2.7072319341109674,0.5637547340011224,0.5883683830033988,363.0325159901986,407.8310580080142,363.2715675968,256,31048,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,94.0603448275862,0.0,0.0,,142,0,0,0,0,0,0,4,8,49536,0.0,8192,80,140.0,16384,Ring/LL,2.0,31457280.0,0.0,0.0,94.0603448275862,35.0,7.8,2.754574193643301,0.35315053764657706,,
p1_l70_tp4_tcp_prefill_in4096_out32_c8,l70_tp4,Llama-3.3-70B-Instruct,4,1,0,tcp,prefill,4096,32,8,32,0,14.673077450958807,2.2375841189932544,2.333441616006894,495.54408399853855,546.087003996945,492.7400818195741,1024,124192,0,0,0.0,0.0,15728640.0,15728640,0.0,0,False,93.60398230088497,0.0,0.0,,111,0,0,0,0,0,0,4,32,148608,0.0,8192,80,140.0,131072,Ring/LL,2.0,31457280.0,0.0,0.0,93.60398230088497,35.0,7.8,2.017983933802647,0.2587158889490573,,
p1_l8_pp2_dual_decode_in128_out1024_c1,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,decode,128,1024,1,8,0,13.8618340663759,0.0799010479822754,0.0803398611024022,72.10315018892288,74.31459985673428,72.1335305768827,8192,976,261181844,261181836,31882.54931640625,28488.42102966841,8192.0,0,0.0,8192,False,47.78904494382022,0.002,0.018,7.8,880,0,0,0,0,0,0,2,8,13824,18893.36255787037,4096,32,16.0,8192,Ring/LL,2.0,16384.0,2.3063186716150352,1.1531593358075176,95.57808988764044,16.0,17.0625,13.869019555731267,0.8128363109586091,0.41190612009003197,8.677803237917097
p1_l8_pp2_dual_decode_in128_out1024_c32,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,decode,128,1024,32,64,0,390.2540394882829,0.1770770889706909,0.2237832411192357,81.11264696344733,88.14916480332613,81.8824863576259,65536,7808,1244978832,1244978828,18996.869384765625,16974.515052356022,8192.0,0,0.0,8192,False,47.69914346895074,0.021,0.092,4.32,460,0,0,0,0,0,0,2,64,78336,15892.805759803921,4096,32,16.0,262144,Ring/LL128,1.067,8740.864,1.9400397656010646,1.8182190867863774,95.39828693790147,16.0,17.0625,12.328533680458497,0.7225514244957361,44.66184401760174,52.495964058351035
p1_l8_pp2_dual_decode_in128_out1024_c8,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,decode,128,1024,8,32,0,103.77560594628974,0.1495069209486246,0.192426502238959,76.85752119868994,79.26658913493156,77.00786018431565,32768,3904,736630584,736630588,22480.18139648437,20087.00327225131,8192.0,0,0.0,8192,False,47.765879478827365,0.01,0.026,2.7,605,0,0,0,0,0,0,2,32,41472,17762.11863425926,4096,32,16.0,65536,Ring/LL,2.0,16384.0,2.168227372346101,1.0841136861730505,95.53175895765473,16.0,17.0625,13.011088367198672,0.7625546295794093,0.3304299404435263,27.11391563488631
p1_l8_pp2_dual_prefill_in4096_out32_c1,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,prefill,4096,32,1,8,0,13.445926692093192,0.0923621929250657,0.0930655868723988,73.76151718199253,76.03936735540628,73.80991984879779,256,31048,56871772,56871776,222155.359375,1816.757347303859,8192.0,0,0.0,8192,False,43.21875,0.015,0.306,20.45,30,0,0,0,0,0,0,2,8,49536,1148.0897125322997,4096,32,16.0,8192,Ring/LL,2.0,16384.0,0.140147669986853,0.0700738349934265,86.4375,16.0,17.0625,13.557204870565364,0.7945614576155525,40.31284272274829,49.895791719467056
p1_l8_pp2_dual_prefill_in4096_out32_c8,l8_pp2,Llama-3.1-8B-Instruct,1,2,0,dual,prefill,4096,32,8,32,0,97.17287712721188,0.1697667208500206,0.2236610408872366,78.68840405717492,80.4395480081439,78.55712769519268,1024,124192,28738288,28738288,28064.734375,229.50971121901355,8192.0,0,0.0,8192,False,41.96739130434783,0.011,0.025,2.31,21,0,0,0,0,0,0,2,32,148608,193.38318260120585,4096,32,16.0,65536,Ring/LL,2.0,16384.0,0.02360634553237376,0.01180317276618688,83.93478260869566,16.0,17.0625,12.708352799650136,0.7448118856937809,8.165469007757178,31.979293186627558
p1_l8_pp4_dual_decode_in128_out1024_c1,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,decode,128,1024,1,8,0,14.525493492095446,0.0740149393677711,0.0753580299206078,68.79763025790453,70.32245770096779,68.83928938449031,8192,976,780740064,780740064,95305.18359375,85159.25654450261,24576.0,0,0.0,24576,False,95.46235294117648,0.007,0.034,4.64,841,0,0,0,0,0,0,4,8,13824,56477.145833333336,4096,32,16.0,8192,Ring/LL,2.0,49152.0,2.2980609469943576,1.1490304734971788,95.46235294117648,16.0,17.0625,14.535384376631267,0.8518906594362647,0.41604115758558025,9.588696936115898
p1_l8_pp4_dual_decode_in128_out1024_c32,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,decode,128,1024,32,64,0,414.9453084897641,0.1702189659699797,0.2114798696711659,77.19539105892181,84.8286566324532,77.02203645451242,65536,7808,3742109760,3742109764,57100.0634765625,51021.34816753927,24576.0,0,0.0,24576,False,95.32975113122173,0.068,0.305,4.49,436,0,0,0,0,0,0,4,64,78336,47769.98774509804,4096,32,16.0,262144,Ring/LL128,1.067,26222.591999999997,1.9437657773884294,1.8217111315730363,95.32975113122173,16.0,17.0625,12.954141254841478,0.7592170698808192,44.55989329399039,51.352101537816615
p1_l8_pp4_dual_decode_in128_out1024_c8,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,decode,128,1024,8,32,0,115.57543326353108,0.108928520232439,0.1851647510193288,68.99848999455571,70.57832181453705,69.16230683241591,32768,3904,2283811372,2283811372,69696.39196777344,62276.70626090751,24576.0,0,0.0,24576,False,95.51980633802818,0.032,0.089,2.76,561,0,0,0,0,0,0,4,32,41472,55068.754147376545,4096,32,16.0,65536,Ring/LL,2.0,49152.0,2.240753342585309,1.1203766712926544,95.51980633802818,16.0,17.0625,14.493070791533329,0.8494107423609277,0.2845741149939418,20.36740753468902
p1_l8_pp4_dual_prefill_in4096_out32_c1,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,prefill,4096,32,1,8,0,14.001503926292962,0.0889121452346444,0.0902778808958828,70.93110214918852,72.49931572005153,70.85730155156325,256,31048,170296120,170296120,665219.21875,5440.075389726552,24576.0,0,0.0,24576,False,87.03333333333333,0.046,1.088,23.49,29,0,0,0,0,0,0,4,8,49536,3437.825419896641,4096,32,16.0,8192,Ring/LL,2.0,49152.0,0.1398854744424089,0.06994273722120445,87.03333333333333,16.0,17.0625,14.098187814658685,0.8262674177089339,40.38004858830606,50.40599132413597
p1_l8_pp4_dual_prefill_in4096_out32_c8,l8_pp4,Llama-3.1-8B-Instruct,1,4,0,dual,prefill,4096,32,8,32,0,108.37387403661832,0.1478135120123624,0.2147099389694631,70.43021963909268,72.64523813501,70.32788351211967,1024,124192,92008568,92008572,89852.1171875,734.7988116534628,24576.0,0,0.0,24576,False,82.47619047619048,0.036,0.089,2.44,20,0,0,0,0,0,0,4,32,148608,619.1360357450474,4096,32,16.0,65536,Ring/LL,2.0,49152.0,0.025192709787803035,0.012596354893901518,82.47619047619048,16.0,17.0625,14.198450681033295,0.832143629657629,7.894286540792592,27.89916128305152
p1_l8_tp1_dual_decode_in128_out1024_c1,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,decode,128,1024,1,8,0,14.54629678187167,0.0790574047714471,0.0813541249372065,68.77431785687804,70.55825926363468,68.73614757646327,8192,976,0,0,0.0,0.0,0.0,0,0.0,0,False,24.016548463356973,0.0,0.0,,835,0,0,0,0,0,0,1,8,13824,0.0,4096,32,16.0,8192,Ring/LL,2.0,0.0,,,96.06619385342789,16.0,17.0625,14.540311429639155,0.8521794244477161,,
p1_l8_tp1_dual_decode_in128_out1024_c32,l8_tp1,Llama-3.1-8B-Instruct,1,1,0,dual,decode,128,1024,32,64,0,409.98043748077015,0.2446051449514925,0.2607720820233226,77.98656541854143,86.40647307038307,77.88157210450063,65536,7808,0,0,0.0,0.0,0.0,0,0.0,0,False,23.86261261261261,0.0,0.0,,437,0,0,0,0,0,0,1,64,78336,0.0,4096,32,16.0,262144,Ring/LL128,1.067,0.0,,,95.45045045045045,16.0,17.0625,12.822721383268513,0.7515148063454073,,
